Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
MINDTREE,EQ,09-Jan-19,821.2,825,839,820.1,823.5,823.45,828.8,1108871,919036770.1,27750,170503,15.38
MINDTREE,EQ,10-Jan-19,823.45,823.5,827,810,812.95,812.25,815.31,1017956,829946346.7,25853,287171,28.21
MINDTREE,EQ,11-Jan-19,812.25,810,836,794.4,834,832,812.81,2625463,2133990114,51260,435348,16.58
MINDTREE,EQ,14-Jan-19,832,838,857.85,830,853.3,853.15,843.66,2309396,1948339181,51144,330892,14.33
MINDTREE,EQ,15-Jan-19,853.15,847.3,863,842.8,855.35,854.5,854.82,1598604,1366511336,41003,183911,11.5
MINDTREE,EQ,16-Jan-19,854.5,855,863,835,835.05,841.2,846.95,2437761,2064666750,59154,589109,24.17
MINDTREE,EQ,17-Jan-19,841.2,843.95,873.3,821.7,866,867.85,856.97,10222282,8760163794,204114,779243,7.62
MINDTREE,EQ,18-Jan-19,867.85,868,892.2,853.95,888.9,887,877.84,4875592,4279966984,100627,523711,10.74
MINDTREE,EQ,21-Jan-19,887,895,911.7,874.35,879.8,881.75,897.96,4642387,4168684965,88113,272532,5.87
MINDTREE,EQ,22-Jan-19,881.75,883,934,879.4,930.05,921.1,902.58,3934018,3550770975,72468,1058175,26.9
MINDTREE,EQ,23-Jan-19,921.1,930,942.9,902,905,906.55,923.57,6485855,5990140836,115982,965330,14.88
MINDTREE,EQ,24-Jan-19,906.55,913.8,923.35,906.5,912.05,910.4,911.36,2027003,1847328746,42509,214216,10.57
MINDTREE,EQ,25-Jan-19,910.4,916.05,925,880.8,887.95,886.1,903.83,2686280,2427941237,49029,317435,11.82
MINDTREE,EQ,28-Jan-19,886.1,872,884.25,856.05,868.15,868.6,870.47,2225129,1936909177,53270,322191,14.48
MINDTREE,EQ,29-Jan-19,868.6,870,911,866,907.35,903.6,890.49,1990949,1772915011,46222,283796,14.25
MINDTREE,EQ,30-Jan-19,903.6,909.2,919,885.1,890,890.45,902.76,1661063,1499535580,50115,309584,18.64
